id,mailto_wave2
2,TRUE
3,TRUE
5,TRUE
7,TRUE
9,TRUE
12,TRUE
13,TRUE
15,TRUE
17,TRUE
19,TRUE
20,TRUE
29,TRUE
34,FALSE
35,TRUE
36,TRUE
38,TRUE
41,TRUE
42,TRUE
43,TRUE
45,FALSE
46,TRUE
47,TRUE
49,FALSE
50,TRUE
55,TRUE
62,TRUE
70,TRUE
72,TRUE
74,TRUE
75,TRUE
80,TRUE
88,TRUE
97,TRUE
98,TRUE
100,TRUE
101,FALSE
108,TRUE
109,TRUE
112,TRUE
115,TRUE
116,TRUE
123,TRUE
125,TRUE
129,TRUE
131,TRUE
132,TRUE
137,TRUE
139,TRUE
140,TRUE
142,TRUE
148,TRUE
149,TRUE
150,TRUE
154,TRUE
155,TRUE
156,FALSE
160,TRUE
164,TRUE
168,TRUE
173,TRUE
176,TRUE
179,TRUE
181,FALSE
182,TRUE
187,TRUE
198,TRUE
199,TRUE
200,TRUE
201,TRUE
206,TRUE
207,TRUE
211,TRUE
218,TRUE
228,TRUE
233,TRUE
239,TRUE
240,TRUE
242,TRUE
247,TRUE
248,TRUE
249,TRUE
256,TRUE
257,TRUE
260,TRUE
261,TRUE
265,TRUE
267,TRUE
270,FALSE
272,TRUE
274,TRUE
276,TRUE
281,FALSE
288,TRUE
293,TRUE
297,FALSE
298,TRUE
304,TRUE
305,TRUE
306,TRUE
307,TRUE
309,TRUE
316,TRUE
318,TRUE
319,TRUE
320,TRUE
323,TRUE
324,TRUE
328,TRUE
331,TRUE
333,TRUE
336,FALSE
338,TRUE
339,TRUE
342,TRUE
348,FALSE
351,TRUE
353,TRUE
355,TRUE
357,TRUE
360,TRUE
362,TRUE
367,TRUE
370,TRUE
383,TRUE
389,TRUE
390,TRUE
392,TRUE
393,TRUE
401,TRUE
407,TRUE
408,TRUE
411,TRUE
412,TRUE
415,TRUE
416,TRUE
417,TRUE
422,TRUE
428,TRUE
430,TRUE
431,TRUE
434,TRUE
437,TRUE
441,TRUE
444,TRUE
447,FALSE
455,FALSE
456,TRUE
458,TRUE
460,TRUE
462,FALSE
465,TRUE
468,TRUE
473,FALSE
476,TRUE
486,TRUE
488,TRUE
494,FALSE
500,TRUE
505,TRUE
507,TRUE
511,TRUE
512,TRUE
515,TRUE
520,TRUE
523,TRUE
526,TRUE
528,TRUE
533,TRUE
539,TRUE
540,TRUE
541,TRUE
543,TRUE
545,TRUE
546,TRUE
549,TRUE
566,TRUE
568,TRUE
570,TRUE
573,TRUE
575,TRUE
576,TRUE
583,TRUE
585,TRUE
587,TRUE
588,TRUE
589,TRUE
590,TRUE
592,TRUE
594,FALSE
602,FALSE
607,TRUE
609,TRUE
618,TRUE
619,TRUE
635,FALSE
636,FALSE
642,TRUE
645,TRUE
648,FALSE
650,TRUE
651,TRUE
656,TRUE
657,TRUE
658,TRUE
660,TRUE
685,TRUE
690,TRUE
691,TRUE
692,TRUE
694,TRUE
696,TRUE
699,TRUE
701,TRUE
705,TRUE
706,TRUE
707,TRUE
708,TRUE
709,FALSE
712,TRUE
718,TRUE
721,TRUE
722,FALSE
727,TRUE
736,TRUE
744,TRUE
748,TRUE
752,TRUE
761,TRUE
763,TRUE
765,TRUE
771,FALSE
772,TRUE
775,TRUE
776,TRUE
783,TRUE
786,TRUE
788,FALSE
789,TRUE
790,TRUE
791,TRUE
794,TRUE
796,TRUE
800,TRUE
804,TRUE
806,TRUE
809,TRUE
810,TRUE
817,TRUE
821,FALSE
834,TRUE
842,TRUE
847,TRUE
849,TRUE
853,TRUE
854,FALSE
855,TRUE
857,TRUE
859,TRUE
869,FALSE
872,TRUE
873,TRUE
884,TRUE
889,TRUE
897,TRUE
898,TRUE
899,TRUE
910,TRUE
911,TRUE
914,TRUE
915,TRUE
918,TRUE
919,TRUE
923,TRUE
925,TRUE
934,TRUE
936,TRUE
937,TRUE
942,TRUE
945,TRUE
946,TRUE
947,FALSE
952,TRUE
953,TRUE
955,FALSE
957,TRUE
960,FALSE
963,TRUE
965,TRUE
967,FALSE
969,TRUE
970,FALSE
971,TRUE
974,TRUE
975,TRUE
977,TRUE
978,TRUE
980,TRUE
984,TRUE
985,TRUE
990,TRUE
992,TRUE
995,TRUE
1007,TRUE
1018,TRUE
1019,TRUE
1021,TRUE
1024,FALSE
1026,TRUE
1029,TRUE
1036,TRUE
1037,TRUE
1047,TRUE
1048,TRUE
1058,FALSE
1059,TRUE
1063,TRUE
1065,TRUE
1067,TRUE
1073,TRUE
1078,TRUE
1082,TRUE
1083,TRUE
1092,TRUE
1098,TRUE
1099,TRUE
1106,TRUE
1108,TRUE
1109,TRUE
1114,TRUE
1115,TRUE
1122,TRUE
1124,TRUE
1125,TRUE
1126,TRUE
1137,TRUE
1138,TRUE
1139,TRUE
1140,TRUE
1145,TRUE
1150,TRUE
1151,FALSE
1155,TRUE
1157,TRUE
1158,TRUE
1164,TRUE
1168,TRUE
1169,TRUE
1173,TRUE
1174,TRUE
1175,FALSE
1176,TRUE
1190,TRUE
1195,TRUE
1198,TRUE
1200,TRUE
1201,TRUE
1213,TRUE
1214,TRUE
1217,TRUE
1218,TRUE
1219,TRUE
1223,TRUE
1226,TRUE
1231,TRUE
1232,TRUE
1234,TRUE
1239,TRUE
1243,TRUE
1244,TRUE
1248,TRUE
1249,TRUE
1252,TRUE
1253,TRUE
1255,TRUE
1272,TRUE
1274,TRUE
1275,TRUE
1276,TRUE
1278,TRUE
1282,TRUE
1287,TRUE
1293,TRUE
1295,TRUE
1299,FALSE
1303,TRUE
1307,TRUE
1311,FALSE
1318,TRUE
1319,TRUE
1320,TRUE
1330,TRUE
1331,TRUE
1332,TRUE
1334,TRUE
1336,FALSE
1338,FALSE
1341,TRUE
1346,TRUE
1347,TRUE
1350,TRUE
1356,TRUE
1357,FALSE
1363,TRUE
1365,TRUE
1370,TRUE
1373,TRUE
1374,TRUE
1378,TRUE
1381,TRUE
1383,TRUE
1384,TRUE
1385,TRUE
1387,TRUE
1390,FALSE
1393,TRUE
1402,TRUE
1405,TRUE
1409,TRUE
1412,TRUE
1413,TRUE
1417,TRUE
1420,FALSE
1422,TRUE
1428,TRUE
1432,FALSE
1436,TRUE
1443,TRUE
1444,TRUE
1447,TRUE
1449,TRUE
1458,TRUE
1459,FALSE
1464,TRUE
1465,TRUE
1467,TRUE
1474,TRUE
1483,FALSE
1486,TRUE
1489,TRUE
1490,TRUE
1494,FALSE
1497,TRUE
1499,TRUE
1500,TRUE
1504,FALSE
1505,TRUE
1510,TRUE
1515,TRUE
1517,TRUE
1523,TRUE
1532,TRUE
1539,FALSE
1544,TRUE
1553,TRUE
1558,TRUE
1562,TRUE
1569,TRUE
1574,TRUE
1578,TRUE
1579,TRUE
1583,TRUE
1584,FALSE
1585,FALSE
1587,TRUE
1589,TRUE
1591,TRUE
1592,TRUE
1593,TRUE
1596,TRUE
1598,FALSE
1601,TRUE
1613,TRUE
1615,TRUE
1623,TRUE
1624,TRUE
1625,FALSE
1628,TRUE
1634,TRUE
1639,TRUE
1641,TRUE
1642,TRUE
1645,TRUE
1651,TRUE
1653,TRUE
1654,FALSE
1661,TRUE
1663,TRUE
1664,TRUE
1669,FALSE
1672,TRUE
1674,TRUE
1677,TRUE
1678,TRUE
1688,TRUE
1689,TRUE
1696,TRUE
1699,FALSE
1703,TRUE
1705,TRUE
1707,TRUE
1708,TRUE
1709,TRUE
1713,TRUE
1714,TRUE
1718,TRUE
1730,TRUE
1736,TRUE
1737,TRUE
1748,TRUE
1753,FALSE
1755,TRUE
1757,TRUE
1761,TRUE
1766,TRUE
1768,FALSE
1769,FALSE
1770,TRUE
1773,TRUE
1780,TRUE
1784,TRUE
1787,TRUE
1790,TRUE
1791,TRUE
1793,TRUE
1797,TRUE
1799,TRUE
1800,TRUE
1803,TRUE
1805,TRUE
1808,TRUE
1811,TRUE
1812,TRUE
1813,TRUE
1818,TRUE
1826,TRUE
1830,TRUE
1831,TRUE
1834,TRUE
1836,FALSE
1847,TRUE
1849,TRUE
1852,TRUE
1857,TRUE
1860,TRUE
1865,TRUE
1866,FALSE
1872,TRUE
1873,TRUE
1876,TRUE
